case No.,KeyGen(ns),Encrypt(ns),Decrypt(ns)
0,276849,35643,336248
1,37971,86601,554585
2,35088,524689,993975
3,36668,35574,356832
4,36807,51329,510136
5,35111,35286,489524
6,36522,53342,381085
7,35561,35156,337437
8,82417,35606,582582
9,34000,34185,324819
10,33947,34302,615599
11,35139,37339,430314
12,33933,34215,335645
13,57083,36802,342505
14,37674,37561,367983
15,537902,50297,319082
16,36667,64919,456406
17,48365,66485,362402
18,34019,35687,375168
19,35351,54964,399153
20,49556,53687,338449
21,37087,36894,339186
22,50933,34550,438446
23,36032,50754,375839
24,52774,50464,332374
25,53442,37048,330857
26,49155,35536,371471
27,36593,35363,344618
28,47237,34523,378179
29,53792,36567,367516
30,47945,57291,412811
31,35854,49257,284468
32,36611,35209,296977
33,34993,35534,439596
34,37180,35245,340129
35,35090,35182,289450
36,54079,36414,398171
37,36123,56755,338263
38,36764,49651,387766
39,38593,35413,283874
40,34889,35134,363550
41,63988,55938,301023
42,35053,37086,285215
43,35015,35846,342000
44,49999,40746,371984
45,50952,36497,364034
46,38497,55794,342348
47,49148,35272,390153
48,50275,35339,326122
49,36314,38253,380297
50,37015,36793,352548
51,68298,43088,409460
52,35910,35210,338355
53,37868,48221,330835
54,50275,35700,290566
55,34919,35535,344132
56,48986,62266,297360
57,83435,67544,362532
58,72229,36230,319081
59,36989,36339,303965
60,36861,80602,284956
61,35064,37017,409193
62,54750,36756,350469
63,67939,70903,433206
64,41507,36485,492864
65,36744,35185,362192
66,34948,35202,287986
67,36481,35266,382870
68,36413,39859,296128
69,34919,64039,301436
70,63592,91050,285557
71,36283,71850,381904
72,47686,114681,346485
73,38239,38176,326352
74,42195,113036,383625
75,148226,40827,373113
76,49601,35320,285045
77,39556,36212,302186
78,60710,54816,331451
79,36312,34722,280574
80,34745,36428,357440
81,34987,35407,317639
82,34789,37136,333977
83,35441,35138,395521
84,72828,35334,334737
85,34959,35652,284526
86,36803,35626,296438
87,36044,58512,435503
88,34989,35464,324982
89,36093,96295,321943
90,35176,55109,335290
91,36665,35246,374877
92,56324,36672,393519
93,36342,37428,462844
94,68740,51442,353509
95,54024,62216,380906
96,38921,37135,369604
97,84097,48788,341448
98,52830,77957,600967
99,49363,35370,419404
